feature,tfidf,doc_id
entire team,0.2772619348271273,0
lovely,0.26501653242254547,0
team hard,0.26501653242254547,0
clapping hand,0.26007489547975754,0
entire,0.25781819176685666,0
let push,0.24037394260799597,0
big thank,0.22729144383365152,0
yes,0.22164159836964992,0
hard work,0.20963085678321863,0
clapping,0.20712324803616872,0
hope,0.1994219506880292,0
finish,0.18894823590450857,0
big,0.18744399429461933,0
flexed bicep,0.18258927332843516,0
result,0.1782666643167543,0
hard,0.17131279234572458,0
push,0.16963247210192872,0
work,0.16314553026816447,0
hand,0.1539386703215127,0
bicep,0.1513412672733597,0
flexed,0.1474039010240835,0
let,0.14122230925393087,0
thank,0.13730356803265098,0
start,0.1362806723111429,0
team,0.13029566722468847,0
hand,0.274558060382315,1
team clap,0.26316977279200177,1
clap hand,0.24725593278476443,1
great work,0.24725593278476443,1
today great,0.23633575942682591,1
forward race,0.23406343751680025,1
work team,0.23192891918554107,1
ok hand,0.21835021782119016,1
pole position,0.21564051426880734,1
clap,0.20650344442271162,1
manage,0.2026933772720209,1
race tomorrow,0.1887196728215775,1
look forward,0.18752604090534086,1
bit,0.183119200664056,1
ok,0.18014203908545182,1
forward,0.1773971091475101,1
qualify,0.1744437453186657,1
pole,0.16683079574732226,1
position,0.16140334000395049,1
look,0.1571943023583593,1
work,0.14548949999671318,1
happy,0.13193214374937193,1
great,0.12655658008529633,1
team,0.11619473389861648,1
good,0.11365741144665031,1
tomorrow,0.11252383202566284,1
today,0.10977541624350971,1
race,0.0881538502015802,1
party,0.36628431918674614,2
popper,0.36628431918674614,2
old,0.35247155986217465,2
happy birthday,0.33300356901700945,2
clapping hand,0.3162799807236501,2
birthday,0.3017662750345259,2
clapping,0.2518848917557212,2
support,0.22931815008455014,2
big,0.22795273181944045,2
year,0.21823621661913728,2
hand,0.1872065336875311,2
happy,0.1799150189136162,2
today,0.14970003161034184,2
